,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
351480,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,16GB 2147483648,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GT 730, PCI\VEN_10DE&DEV_1287&SUBSYS_36931458&REV_A1\4&30760922&0&0008, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.14393  Build 14393
505330,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Pentium(R) CPU G3220 @ 3.00GHz,4GB 1073741824,"1440x900 96,96 32","Intel(R) HD Graphics, PCI\VEN_8086&DEV_0402&SUBSYS_78461462&REV_06\3&11583659&0&10",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
553812,Intel(R) Atom(TM) x7-Z8750  CPU @ 1.60GHz,8GB,1440x900,Intel(R) HD Graphics,Microsoft Windows 10 企业版,10.0.15063  Build 15063
362521,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_1912&SUBSYS_79961462&REV_06\3&11583659&1&10",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
207416,Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz,16GB,2560x1440,Intel(R) HD Graphics 4000,Microsoft Windows 7 Édition Familiale Premium ,6.1.7601 Service Pack 1 Build 7601
693283,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,8GB,1920x1080,Intel(R) HD Graphics 630,Microsoft Windows 10 Pro,10.0.14393  Build 14393
125421,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,8GB,1920x1080,Radeon RX 550 Series,Microsoft Windows 10 Pro,10.0.14393  Build 14393
755147,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,12GB,1920x1080,Intel(R) HD Graphics 620,Майкрософт Windows 10 Домашняя для одного языка,10.0.16299  Build 16299
46103,Intel(R) Xeon(R) CPU           E5450  @ 3.00GHz,3GB,1920x1080,NVIDIA Quadro FX 1700,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
206292,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,8GB,1920x1080,NVIDIA Quadro M2000M,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
598397,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz,20GB 2147155968,"1920x1200 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce GT 520, PCI\VEN_10DE&DEV_0DE4&SUBSYS_83D41043&REV_A1\4&32378858&0&0008, \\.\DISPLAY1",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
225881,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB,1920x1080,NVIDIA GeForce GTX 750 Ti,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
193300,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,1920x1200,NVIDIA GeForce GTX 1050 Ti,‏‏Microsoft Windows 10 Home,10.0.14393  Build 14393
93302,Intel(R) Core(TM) i7-3615QM CPU @ 2.30GHz,8GB 1024,"1440x900 Retina 108,110 32","NVIDIA GeForce GT 650M NVIDIA GeForce GT 650M, 4053",macOS Sierra,10.12.3
